Codigo,Status_Rastreio,Data,Local
PS290547654BR,Objeto entregue ao destinatário,01/03/2019, CHARQUEADAS/RS
PS290471350BR,Objeto entregue ao destinatário,25/02/2019, LINS/SP
OG355686255BR,Objeto entregue ao destinatário,21/02/2019, SAO PAULO/SP
PS290521997BR,Objeto entregue ao destinatário,25/02/2019, Rio De Janeiro/RJ
OG673415288BR,Objeto entregue ao destinatário,23/02/2019, VARGINHA/MG
PS290444235BR,Objeto entregue ao destinatário,22/02/2019, RIO DE JANEIRO/RJ
OG673565716BR,Objeto entregue ao destinatário,27/02/2019, SAO LUIS/MA
OG355850005BR,Objeto entregue ao destinatário,21/02/2019, CURITIBA/PR
OG355671715BR,Objeto entregue ao destinatário,22/02/2019, Ilopolis/RS
PS290438835BR,Objeto entregue ao destinatário,26/02/2019, SAO LUIS/MA
OG355835918BR,Objeto entregue ao destinatário,21/02/2019, BRASILIA/DF
OG673418315BR,Objeto entregue ao destinatário,21/02/2019, Sao Paulo/SP
OG673666745BR,Objeto entregue ao destinatário,22/02/2019, TAUBATE/SP
OG355834719BR,Objeto entregue ao destinatário,21/02/2019, CAMPINAS/SP
PS290351286BR,Objeto entregue ao destinatário,25/02/2019, BELO HORIZONTE/MG
OG673517993BR,Objeto entregue ao destinatário,21/02/2019, SAO PAULO/SP
OG673404753BR,Objeto entregue ao destinatário,22/02/2019, LORENA/SP
OG355586813BR,Objeto entregue ao destinatário,21/02/2019, Sao Paulo/SP
PS290485288BR,Objeto entregue ao destinatário,23/02/2019, Rio De Janeiro/RJ
PS290296298BR,Objeto entregue ao destinatário,26/02/2019, VACARIA/RS
OG673421650BR,Objeto entregue ao destinatário,21/02/2019, SAO PAULO/SP
PS290531711BR,Objeto entregue ao destinatário,25/02/2019, BARBACENA/MG
PS290309535BR,Objeto entregue ao destinatário,25/02/2019, CURITIBANOS/SC
OG673594006BR,Objeto entregue ao destinatário,21/02/2019, BRASILIA/DF
OG355387106BR,Objeto entregue ao destinatário,22/02/2019, JARAGUA DO SUL/SC
PS290235912BR,Objeto entregue ao destinatário,28/02/2019, CUIABA/MT
OG355597144BR,Objeto entregue ao destinatário,21/02/2019, FRANCA/SP
OG673680844BR,Objeto entregue ao destinatário,25/02/2019, SAO JOAO DA BARRA/RJ
OG673465390BR,Objeto entregue ao destinatário,26/02/2019, PORTO VELHO/RO
PS290306018BR,Objeto entregue ao destinatário,23/02/2019, MARICA/RJ
OG673427309BR,Objeto entregue ao destinatário,22/02/2019, RESENDE/RJ
OG673318480BR,Objeto entregue ao destinatário,22/02/2019, SAO PAULO/SP
PS290486748BR,Objeto entregue ao destinatário,28/02/2019, JUINA/MT
OG673613527BR,Objeto entregue ao destinatário,21/02/2019, SAO PAULO/SP
OG673718289BR,Objeto entregue ao destinatário,22/02/2019, BRASILIA/DF
PS290296797BR,Objeto entregue ao destinatário,28/02/2019, Turvo/PR
